index,imf_0,imf_1,imf_2,imf_3,imf_4,residue
116,-0.29921244,0.14274654,0.79966464,0.05849526,0.74183929,99.71360111
117,-0.30546517,0.26244772,0.97046244,0.07644736,0.74489795,99.72277445
118,0.30257112,0.33948061,1.12422162,0.09342974,0.74813195,99.73185205
119,-0.01128340,0.31829371,1.25638932,0.10946678,0.75154093,99.74083138
120,0.29751502,0.17281123,1.36279978,0.12458288,0.75512453,99.74970989
121,0.33053863,-0.04298718,1.44059474,0.13880243,0.75888241,99.75848505
122,-0.45067753,-0.21665565,1.48815691,0.15214983,0.76281419,99.76715432
123,-0.49408480,-0.24239549,1.50479728,0.16464998,0.76691951,99.77571517
124,0.28768170,-0.09923015,1.49217698,0.17633255,0.77119803,99.78416505
125,-0.03056213,0.13060027,1.45395778,0.18724468,0.77564937,99.79250143
126,-0.04093862,0.31683035,1.39425067,0.19746403,0.78027318,99.80072177
127,0.36291049,0.35935926,1.31721689,0.20708471,0.78506911,99.80882354
128,-0.14108441,0.22835730,1.22733197,0.21620551,0.79003678,99.81680420
129,-0.01222037,-0.00286068,1.12960819,0.22492582,0.79517584,99.82466120
130,-0.26982385,-0.24012602,1.02917971,0.23334501,0.80048594,99.83239203
131,0.16927221,-0.40676730,0.93118070,0.24156248,0.80596671,99.83999413
132,-0.42100188,-0.43278798,0.84063081,0.24967762,0.81161780,99.84746497
133,0.09177551,-0.30315661,0.76099982,0.25778979,0.81743884,99.85480201
134,0.15493513,-0.09444718,0.69111898,0.26599839,0.82342947,99.86200271
135,0.32321987,0.09950017,0.62810073,0.27440280,0.82958934,99.86906455
136,-0.27684293,0.22469706,0.56877219,0.28310241,0.83591809,99.87598498
137,-0.17459698,0.26206586,0.50916364,0.29219660,0.84241535,99.88276146
138,0.35280699,0.22605663,0.44381115,0.30178475,0.84908077,99.88939146
139,0.22536302,0.15881801,0.36605649,0.31196624,0.85591399,99.89587244
140,-0.29306996,0.13038552,0.26916084,0.32284047,0.86291465,99.90220186
141,-0.00712140,0.20014431,0.14713110,0.33450682,0.87008239,99.90837719
142,0.03057660,0.33920339,-0.00297247,0.34706467,0.87741686,99.91439589
143,-0.03398819,0.46501141,-0.17963224,0.36061340,0.88491768,99.92025542
144,0.05160780,0.48478746,-0.37776945,0.37525240,0.89258451,99.92595324
145,0.47658760,0.36268831,-0.59038312,0.39108105,0.90041697,99.93148682
146,-0.00401820,0.14008408,-0.81014190,0.40819873,0.90841473,99.93685362
147,-0.08668675,-0.11033043,-1.02971446,0.42670484,0.91657740,99.94205111
148,-1.10160407,-0.31190566,-1.24176945,0.44669876,0.92490470,99.94707669
149,-1.47177952,-0.38799208,-1.43897551,0.46827986,0.93339646,99.95192762
150,-0.78792192,-0.28699420,-1.61432075,0.49154754,0.94205252,99.95660116
151,-0.49148360,-0.06532690,-1.76244921,0.51660117,0.95087267,99.96109464
152,0.34536974,0.16814088,-1.87977603,0.54354014,0.95985668,99.96540539
153,0.72441464,0.31191154,-1.96290020,0.57246245,0.96900433,99.96953073
154,0.17916403,0.28695518,-2.00897478,0.60344656,0.97831538,99.97346799
155,-0.22671482,0.09004927,-2.01706291,0.63649900,0.98778962,99.97721451
156,0.32110948,-0.21580371,-1.98749783,0.67155093,0.99742681,99.98076761
157,-0.63586536,-0.42416610,-1.92104383,0.70851128,1.00722675,99.98412462
158,0.33215200,-0.40371790,-1.81961343,0.74728718,1.01718919,99.98728286
159,0.33455481,-0.20898153,-1.68836932,0.78778572,1.02731392,99.99023967
160,0.51083278,0.06619487,-1.53326675,0.82991400,1.03760070,99.99299238
161,0.47331423,0.34759196,-1.36026101,0.87357915,1.04804932,99.99553831
162,0.62909531,0.56584974,-1.17530735,0.91868826,1.05865955,99.99787480
163,0.69066328,0.65745880,-0.98436104,0.96514845,1.06943117,99.99999916
164,0.30604218,0.58470389,-0.79337294,1.01286682,1.08036394,100.00190874
165,-0.33126995,0.37960682,-0.60808282,1.06175048,1.09145765,100.00360085
166,0.00298123,0.10855591,-0.43333764,1.11170653,1.10271207,100.00507283
167,0.09272271,-0.15500453,-0.27305957,1.16264209,1.11412697,100.00632201
168,0.09113803,-0.35480116,-0.12976813,1.21446427,1.12570214,100.00734571
169,-0.34189063,-0.43284600,-0.00461802,1.26708016,1.13743733,100.00814126
170,0.20592501,-0.36598383,0.10265412,1.32039688,1.14933234,100.00870599
171,0.25608997,-0.21138106,0.19272691,1.37432154,1.16138693,100.00903724
172,0.22069633,-0.03343805,0.26634007,1.42876124,1.17360089,100.00913232
173,-0.12437247,0.13898934,0.32424179,1.48362309,1.18597397,100.00898857
174,0.11428578,0.31917273,0.36718029,1.53881420,1.19850597,100.00860331
175,-0.40104738,0.53386600,0.39590379,1.59424168,1.21119665,100.00797389
176,-0.14078826,0.75170250,0.41116048,1.64981263,1.22404579,100.00709761
177,0.51318569,0.89252958,0.41372627,1.70543416,1.23705316,100.00597181
178,0.32775580,0.87664753,0.40462927,1.76101290,1.25021855,100.00459383
179,-0.21844234,0.67316128,0.38581545,1.81645322,1.26354172,100.00296098
180,0.41810300,0.29541241,0.36065086,1.87165792,1.27702244,100.00107061
181,-0.10104618,-0.16971225,0.33274527,1.92653033,1.29066051,99.99892002
182,-0.39679100,-0.58652952,0.30568414,1.98097811,1.30445568,99.99650657
183,0.10711332,-0.82819081,0.28304749,2.03491301,1.31840774,99.99382756
184,-0.33557829,-0.84750567,0.26791036,2.08824485,1.33251645,99.99088034
185,-0.00127451,-0.70373714,0.26104212,2.14088499,1.34678160,99.98766223
186,0.51504979,-0.48750914,0.26150467,2.19275382,1.36120297,99.98417056
187,0.48344468,-0.28309593,0.26801430,2.24377472,1.37578031,99.98040266
188,0.14210786,-0.12984903,0.27927282,2.29387404,1.39051342,99.97635585
189,-0.49106227,-0.01021922,0.29397111,2.34297884,1.40540206,99.97202747
190,-0.40933162,0.09168424,0.31077617,2.39101617,1.42044601,99.96741484
191,0.24111415,0.16242071,0.32841223,2.43791312,1.43564504,99.96251529
192,0.26860958,0.17133224,0.34553826,2.48359675,1.45099893,99.95732616
193,0.14623189,0.10642834,0.36017749,2.52799411,1.46650746,99.95184476
194,-0.15262744,0.01748737,0.36893985,2.57103228,1.48217040,99.94606843
195,-0.02972352,-0.02181109,0.36798262,2.61263833,1.49798752,99.93999450
196,-0.00792314,0.04333773,0.35488348,2.65274026,1.51395860,99.93362030
197,-0.32243706,0.22440767,0.32949508,2.69127103,1.53008342,99.92694315
198,0.14561901,0.46445587,0.29268798,2.72816799,1.54636175,99.91996038
199,0.40958678,0.65637274,0.24547470,2.76336466,1.56279336,99.91266932
200,0.15425694,0.69961378,0.18905681,2.79679372,1.57937803,99.90506730
201,0.18852677,0.56180189,0.12584408,2.82839816,1.59611556,99.89715163
202,0.30583721,0.27465830,0.06028737,2.85813181,1.61300583,99.88891953
203,-0.15055623,-0.08663836,-0.00269725,2.88594911,1.63004879,99.88036814
204,-0.23883071,-0.43245512,-0.05818850,2.91179937,1.64724452,99.87149450
205,0.07863119,-0.68003710,-0.10126710,2.93563386,1.66459314,99.86229558
206,-0.29273517,-0.78194254,-0.12704294,2.95740203,1.68209483,99.85276831
207,0.05359448,-0.73624301,-0.13217321,2.97704957,1.69974997,99.84290942
208,0.34959099,-0.57091174,-0.11927971,2.99452689,1.71755902,99.83271555
209,-0.39878559,-0.32295259,-0.09328718,3.00977849,1.73552241,99.82218338
210,-0.42975320,-0.05483151,-0.05933882,3.02274688,1.75364057,99.81130956
211,-0.35813718,0.16005022,-0.02257780,3.03337458,1.77191397,99.80009075
212,0.48533563,0.22278160,0.01185268,3.04160410,1.79034304,99.78852361
213,-0.26578827,0.08356914,0.03912619,3.04737796,1.80892821,99.77660481
214,0.09881345,-0.06788367,0.05568369,3.05063828,1.82766994,99.76433100
215,-0.32402888,-0.02694754,0.05976891,3.05132450,1.84656864,99.75169885
216,0.48523529,0.08021236,0.05579302,3.04936937,1.86562477,99.73870502
217,0.24618262,0.05799049,0.04995171,3.04469778,1.88483858,99.72534647
218,0.01192254,-0.09370573,0.04592953,3.03723443,1.90420829,99.71162213
219,0.03234418,-0.30688356,0.04570498,3.02690811,1.92372890,99.69753405
220,-0.22998407,-0.49422821,0.05099694,3.01363568,1.94339506,99.68308496
221,0.24422853,-0.56404529,0.06352747,2.99733064,1.96320136,99.66827789
222,-0.32087292,-0.40408595,0.08440137,2.97789495,1.98314197,99.65311687
223,0.34549255,-0.00093447,0.11221663,2.95522482,2.00321084,99.63760635
224,-0.32081452,0.50936769,0.14494770,2.92921185,2.02340181,99.62175088
225,-0.29179254,0.96601672,0.18057668,2.89974001,2.04370851,99.60555522
226,0.62158724,1.27372616,0.21709828,2.86668060,2.06412574,99.58902299
227,0.38507574,1.36830009,0.25259635,2.82985509,2.08465331,99.57215282
228,0.11888500,1.24676783,0.28563372,2.78913335,2.10529215,99.55494158
229,-0.37390788,0.93917302,0.31623469,2.74444635,2.12604225,99.53738694
230,0.05527071,0.48246947,0.34477708,2.69575845,2.14690534,99.51948483
231,0.64255280,-0.06942065,0.37161034,2.64306668,2.16788306,99.50123126
232,0.45194999,-0.65256818,0.39704373,2.58640824,2.18897456,99.48262474
233,0.36756278,-1.20527592,0.42135628,2.52585057,2.21017894,99.46366381
234,-0.11982293,-1.66684800,0.44480925,2.46147888,2.23149881,99.44434352
235,-0.77506124,-1.97658856,0.46764864,2.39339367,2.25294086,99.42465482
236,-0.55216044,-2.08307091,0.49009056,2.32170312,2.27521023,99.40389024
237,-0.04017441,-1.98080480,0.51219325,2.24651731,2.29831689,99.38203746
238,-0.09408257,-1.71322896,0.53364455,2.16795549,2.32227806,99.35907691
239,0.13001032,-1.34148654,0.55379868,2.08613909,2.34780304,99.33429694
240,-0.22408307,-0.89685948,0.57199606,2.00118859,2.37350013,99.30908690
241,-0.01303787,-0.39851769,0.58759033,1.91322489,2.39937775,99.28343603
242,0.26689377,0.12133975,0.59993307,1.82237100,2.42614587,99.25663202
243,-0.14024348,0.62916512,0.60837750,1.72874823,2.45380621,99.22867078
244,0.05059611,1.10853553,0.61227690,1.63247787,2.48165197,99.20025679
245,-0.26292700,1.54070180,0.61098244,1.53368330,2.50969140,99.17137943
246,0.41673504,1.85113134,0.60384474,1.43248845,2.53796183,99.14199903
247,-0.22448146,1.97572612,0.59025081,1.32901724,2.56720870,99.11136782
248,0.03047924,1.96395392,0.56978609,1.22339360,2.59673621,99.08017922
249,0.03754540,1.89496174,0.54231002,1.11574145,2.62654797,99.04842731
250,-0.04843954,1.80475390,0.50783759,1.00618472,2.65664470,99.01610900
251,-0.19132340,1.70754159,0.46640936,0.89484732,2.68702545,98.98322289
252,-0.50774311,1.60959419,0.41806595,0.78185318,2.71768804,98.94976883
253,-0.29091915,1.50918392,0.36284794,0.66732623,2.74862896,98.91574796
254,0.39281113,1.39125579,0.30079592,0.55139038,2.77984361,98.88116255
255,0.60675158,1.23330805,0.23195049,0.43416956,2.81132718,98.84601507
256,0.48803120,1.03078526,0.15635223,0.31578771,2.84307473,98.81030809
257,0.58495175,0.79937054,0.07404175,0.19636872,2.87508095,98.77404459
258,-0.25319863,0.56763550,-0.01494038,0.07603655,2.90734247,98.73722558
259,-0.45116794,0.36739202,-0.11055355,-0.04508491,2.93986423,98.69984379
260,0.19168375,0.22861109,-0.21275718,-0.16687171,2.97265639,98.66188669
261,0.09857036,0.17507640,-0.32151067,-0.28919994,3.00574035,98.62333057
262,-0.27774460,0.22149677,-0.43676188,-0.41194568,3.03913824,98.58415091
263,-0.08165766,0.37023009,-0.55838179,-0.53498499,3.07286176,98.54433368
264,0.13801535,0.57516294,-0.68607959,-0.65819396,3.10691090,98.50387656
265,0.12296076,0.75584995,-0.81941145,-0.78144866,3.14128372,98.46277911
266,-0.11966225,0.85446448,-0.95781046,-0.90462518,3.17597846,98.42104077
267,0.01323672,0.84684660,-1.10050101,-1.02759958,3.21099334,98.37866097
268,0.32898902,0.72276549,-1.24656893,-1.15024794,3.24632659,98.33563912
269,0.21905900,0.49443551,-1.39499192,-1.27244634,3.28197643,98.29197466
270,-0.29783682,0.21655286,-1.54472510,-1.39407085,3.31794083,98.24766728
271,-0.19312171,-0.03708003,-1.69472360,-1.51499756,3.35421658,98.20271782
272,0.11422287,-0.21118044,-1.84394254,-1.63510253,3.39079983,98.15712781
273,-0.09727138,-0.29853094,-1.99135559,-1.75426185,3.42768614,98.11089933
274,-0.01115154,-0.31893720,-2.13602917,-1.87235159,3.46487095,98.06403460
275,0.00299953,-0.29275296,-2.27716558,-1.98924782,3.50234968,98.01653583
276,-0.08994441,-0.23741669,-2.41419609,-2.10482663,3.54011779,97.96840524
277,0.15590988,-0.16986808,-2.54680606,-2.21896409,3.57817071,97.91964505
278,-0.20372642,-0.08485746,-2.67494112,-2.33153628,3.61650386,97.87025747
279,-0.02390836,0.04025518,-2.79863381,-2.44241927,3.65511270,97.82024472
280,0.17141604,0.18645381,-2.91800268,-2.55148914,3.69399266,97.76960901
281,-0.20827509,0.31323517,-3.03274919,-2.65862196,3.73313918,97.71835255
282,0.20282578,0.37948705,-3.14193022,-2.76369382,3.77254769,97.66647757
283,0.13660838,0.33748464,-3.24403836,-2.86658078,3.81221363,97.61398629
284,0.12246384,0.16347901,-3.33630517,-2.96715893,3.85213243,97.56088090
285,0.27037583,-0.12631193,-3.41562594,-3.06530435,3.89229955,97.50716364
286,-0.01697516,-0.46856527,-3.47884492,-3.16089310,3.93271040,97.45283671
287,-0.19156924,-0.76328788,-3.52284537,-3.25380126,3.97336044,97.39790234
288,-0.19697042,-0.91135163,-3.54486087,-3.34390492,4.01424509,97.34236273
289,-0.17097039,-0.85190284,-3.54369052,-3.43108084,4.05535980,97.28622011
290,-0.09338956,-0.59813652,-3.52250352,-3.51520864,4.09670000,97.22947668
291,0.34117036,-0.24967346,-3.48749151,-3.59616962,4.13826112,97.17213467
292,-0.22591692,0.09403469,-3.44539849,-3.67385083,4.18003862,97.11419629
293,-0.00757005,0.39563166,-3.40308841,-3.74814901,4.22202792,97.05566376
294,0.00168774,0.62687149,-3.36771707,-3.81896869,4.26422446,96.99653929
295,0.34029090,0.74915580,-3.34580236,-3.88623237,4.30662367,96.93682509
296,-0.28622409,0.77312845,-3.34207263,-3.94988136,4.34922101,96.87652339
297,-0.18896443,0.75792446,-3.35851458,-4.00986710,4.39201189,96.81563639
298,0.21718513,0.72373223,-3.39448290,-4.06615458,4.43499177,96.75416632
299,0.23831723,0.63984742,-3.44683552,-4.11871197,4.47815607,96.69211539
300,0.04192829,0.47180714,-3.51089671,-4.16750747,4.52150024,96.62948582
301,0.21884537,0.21930625,-3.58137228,-4.21250924,4.56501971,96.56627981
302,0.29716406,-0.07410499,-3.65288566,-4.25368549,4.60870991,96.50249959
303,-0.40687169,-0.32300029,-3.72006323,-4.29100438,4.65256630,96.43814738
304,0.10293988,-0.42974082,-3.77754291,-4.32443410,4.69658430,96.37322538
305,-0.24025436,-0.36136493,-3.82062349,-4.35394374,4.74075935,96.30773581
306,-0.37295117,-0.17491262,-3.84716444,-4.37950605,4.78508688,96.24168089
307,0.35007312,0.03364189,-3.85604866,-4.40109537,4.82956235,96.17506284
308,0.42735871,0.16322979,-3.84653938,-4.41869086,4.87418117,96.10788387
309,-0.03961137,0.16458237,-3.81838588,-4.43228498,4.91893880,96.04014620
310,-0.22896135,0.08664747,-3.77151959,-4.44189700,4.96383066,95.97185203
311,-0.08812504,-0.00084232,-3.70557514,-4.44758082,5.00885220,95.90300359
312,0.14539608,-0.08375164,-3.61951967,-4.44941249,5.05399885,95.83360310
313,0.09652330,-0.17594632,-3.51203434,-4.44747280,5.09926605,95.76365276
314,-0.16523441,-0.26045931,-3.38226178,-4.44184352,5.14464924,95.69315480
315,0.01011110,-0.28884546,-3.23074027,-4.43260663,5.19014385,95.62211143
316,-0.21288965,-0.23725155,-3.05963788,-4.41984410,5.23574532,95.55052486
317,0.43864893,-0.13021399,-2.87176539,-4.40363789,5.28144907,95.47839732
318,0.05778745,-0.00103838,-2.67005374,-4.38406996,5.32725052,95.40573101
319,-0.51921765,0.14147316,-2.45744474,-4.36122227,5.37314511,95.33252815
320,-0.25082403,0.29620637,-2.23688022,-4.33517621,5.41912767,95.25879096
321,0.22815624,0.44519980,-2.01130202,-4.30601050,5.46519038,95.18452165
322,0.20865149,0.56597527,-1.78365196,-4.27380258,5.51132417,95.10972244
323,0.22677021,0.64028184,-1.55687187,-4.23863165,5.55752168,95.03439555
324,0.03505113,0.66762829,-1.33390358,-4.20057688,5.60377555,94.95854319
325,-0.19645443,0.66505984,-1.11768892,-4.15971696,5.65007793,94.88216757
326,0.10145451,0.64295222,-0.91116971,-4.11612939,5.69641978,94.80527092
327,0.01351784,0.59003383,-0.71725913,-4.06989088,5.74279128,94.72785544
328,0.04572271,0.50521734,-0.53866884,-4.02107798,5.78918244,94.64992336
329,-0.12457033,0.41609324,-0.37759807,-3.96976797,5.83558399,94.57147688
330,0.07300973,0.35002450,-0.23537767,-3.91603852,5.88198708,94.49251823
331,-0.09999012,0.30466087,-0.11211249,-3.85996811,5.92838365,94.41304961
332,-0.14610474,0.25128295,-0.00689163,-3.80163555,5.97476595,94.33307326
333,0.28076353,0.15093334,0.08223693,-3.74112006,6.02112670,94.25259137
334,0.44011358,-0.01134243,0.15770071,-3.67850102,6.06745870,94.17160617
335,-0.17462506,-0.19661008,0.22176612,-3.61385775,6.11375477,94.09011987
336,-0.50900913,-0.32143808,0.27592566,-3.54727009,6.16000773,94.00813469
337,-0.44562225,-0.31522153,0.32167463,-3.47881889,6.20621039,93.92565285
338,0.07286467,-0.18506268,0.36059030,-3.40858219,6.25235556,93.84267655
339,0.06518738,0.01643923,0.39417060,-3.33663723,6.29843606,93.75920802
340,-0.03434955,0.23228724,0.42389483,-3.26306124,6.34444470,93.67524946
341,0.01968428,0.41564880,0.45124352,-3.18793147,6.39037430,93.59080311
342,0.29589452,0.53015656,0.47772659,-3.11132514,6.43621767,93.50587116
343,-0.27620742,0.54503420,0.50497896,-3.03331950,6.48196763,93.42045584
344,-0.09571032,0.43587149,0.53469280,-2.95399177,6.52761699,93.33455937
345,0.40180894,0.19611508,0.56854560,-2.87341976,6.57315856,93.24818395
346,-0.29421085,-0.14246249,0.60816190,-2.79168354,6.61858516,93.16133181
347,0.13557182,-0.46936214,0.65512691,-2.70886309,6.66388961,93.07400516
348,-0.36286503,-0.66151298,0.71095050,-2.62503571,6.70906471,92.98620621
