index,imf_0,imf_1,imf_2,imf_3,imf_4,imf_5,imf_6,imf_7,residue
20,-1.02268142,-0.66799856,1.55460369,3.61217250,-0.44340511,-0.41534270,-0.72772712,-0.87084529,87.01199988
21,-0.94542587,-0.95953746,0.95856282,3.51910824,-0.44482722,-0.41630143,-0.72702217,-0.86968906,87.00656447
22,-0.09861022,-1.12520564,0.40378725,3.41495970,-0.44623990,-0.41735742,-0.72634308,-0.86848462,87.00116290
23,0.94987044,-1.25556825,-0.09608578,3.30027810,-0.44762972,-0.41847056,-0.72570663,-0.86725982,86.99579249
24,-0.46616272,-1.38364965,-0.52741905,3.17561464,-0.44898538,-0.41959065,-0.72512499,-0.86605505,86.99045051
25,0.22706918,-1.39912062,-0.87675765,3.04152056,-0.45030883,-0.42069118,-0.72459941,-0.86488661,86.98513617
26,-0.57366955,-1.16998473,-1.13248716,2.89854707,-0.45160297,-0.42176470,-0.72413320,-0.86375045,86.97985040
27,-0.09469918,-0.68452220,-1.28962173,2.74724539,-0.45286921,-0.42280646,-0.72372774,-0.86264362,86.97459447
28,-0.03843749,-0.08499098,-1.35315455,2.58816673,-0.45410876,-0.42381586,-0.72337928,-0.86156425,86.96936967
29,0.19853654,0.39753589,-1.33371560,2.42186619,-0.45532117,-0.42479467,-0.72308352,-0.86051043,86.96417726
30,0.22015027,0.58315947,-1.24399042,2.24892180,-0.45650488,-0.42574310,-0.72283913,-0.85947987,86.95901850
31,0.17845398,0.46123498,-1.09890883,2.06997663,-0.45765949,-0.42666053,-0.72264499,-0.85846975,86.95389468
32,-0.26179296,0.16757516,-0.91461972,1.88582344,-0.45878884,-0.42754208,-0.72250013,-0.85747714,86.94880707
33,-0.14131787,-0.08794311,-0.70645112,1.69736901,-0.45989862,-0.42838031,-0.72240428,-0.85649912,86.94375692
34,0.12276735,-0.16664063,-0.48714912,1.50561198,-0.46099471,-0.42916732,-0.72235740,-0.85553279,86.93874553
35,-0.49542252,-0.09252003,-0.26599098,1.31159559,-0.46207454,-0.42990221,-0.72236093,-0.85457524,86.93377416
36,0.15848207,0.00998959,-0.05117599,1.11637720,-0.46312678,-0.43059071,-0.72241810,-0.85362392,86.92884407
37,1.14160678,0.03571006,0.14947938,0.92092175,-0.46413513,-0.43124288,-0.72253135,-0.85267762,86.92395655
38,-1.07902927,-0.00982807,0.32848877,0.72601331,-0.46509177,-0.43186505,-0.72269810,-0.85173551,86.91911286
39,-0.23699286,-0.00372059,0.47906503,0.53224759,-0.46599532,-0.43246207,-0.72291012,-0.85079739,86.91431427
40,0.72101806,0.08874105,0.59543216,0.34009778,-0.46684965,-0.43303462,-0.72315824,-0.84986293,86.90956206
41,-0.41233582,0.23169519,0.67323308,0.14986243,-0.46765606,-0.43358276,-0.72343802,-0.84893027,86.90485750
42,0.21676026,0.33793239,0.70954831,-0.03821596,-0.46841078,-0.43410770,-0.72375018,-0.84799629,86.90020185
43,0.18035651,0.35927221,0.70470436,-0.22390778,-0.46911101,-0.43461008,-0.72409526,-0.84705762,86.89559640
44,0.04588507,0.30080221,0.66168040,-0.40699174,-0.46975542,-0.43509016,-0.72447260,-0.84611092,86.89104241
45,-0.18790244,0.21340238,0.58462199,-0.58724236,-0.47034518,-0.43554600,-0.72488112,-0.84515282,86.88654115
46,-0.83562951,0.17679991,0.47795960,-0.76443269,-0.47088321,-0.43597459,-0.72531892,-0.84417996,86.88209389
47,-1.34427335,0.23589692,0.34627728,-0.93833583,-0.47137297,-0.43637325,-0.72578327,-0.84318899,86.87770191
48,0.50052870,0.37298481,0.19451765,-1.10872489,-0.47181715,-0.43674036,-0.72627109,-0.84217653,86.87336648
49,1.50131106,0.48429082,0.02799479,-1.27537297,-0.47221837,-0.43707536,-0.72677831,-0.84113923,86.86908887
50,1.42767729,0.45332318,-0.14797051,-1.43805316,-0.47258012,-0.43737783,-0.72729986,-0.84007374,86.86487035
51,0.66993287,0.26727698,-0.32819560,-1.59653857,-0.47290653,-0.43764773,-0.72782966,-0.83897669,86.86071219
52,-0.08265529,-0.01556333,-0.50752983,-1.75060229,-0.47320312,-0.43788594,-0.72835930,-0.83784472,86.85661567
53,0.21595372,-0.31494402,-0.68082259,-1.90001742,-0.47347481,-0.43809463,-0.72887970,-0.83667448,86.85258205
54,-0.59604705,-0.51336100,-0.84292322,-2.04455708,-0.47372598,-0.43827734,-0.72938068,-0.83546278,86.84861253
55,-0.68087090,-0.51748090,-0.98873309,-2.18399434,-0.47396069,-0.43844117,-0.72984780,-0.83420715,86.84470799
56,0.41165163,-0.31351215,-1.11370033,-2.31810233,-0.47418296,-0.43859370,-0.73026586,-0.83290529,86.84086914
57,-0.05916525,-0.02031793,-1.21476110,-2.44665412,-0.47439652,-0.43873773,-0.73062411,-0.83155548,86.83709670
58,0.16591982,0.21368851,-1.28944957,-2.56942284,-0.47460441,-0.43886304,-0.73092534,-0.83015619,86.83339137
59,-0.35912134,0.30989504,-1.33514545,-2.68618157,-0.47480220,-0.43894867,-0.73119055,-0.82870589,86.82975384
60,0.65469687,0.22716493,-1.34909746,-2.79670464,-0.47498447,-0.43897578,-0.73143932,-0.82720331,86.82618481
61,-0.61801164,0.00495405,-1.32799653,-2.90077476,-0.47514999,-0.43895397,-0.73165760,-0.82564819,86.82268498
62,0.24067663,-0.19394171,-1.26835050,-2.99821496,-0.47529441,-0.43890326,-0.73182368,-0.82404080,86.81925511
63,0.23335927,-0.29637063,-1.16688092,-3.08897730,-0.47541177,-0.43882506,-0.73193639,-0.82238175,86.81589624
64,0.24033407,-0.27559247,-1.02262319,-3.17317557,-0.47549582,-0.43871657,-0.73199964,-0.82067142,86.81260974
65,-1.10170398,-0.07962616,-0.83887752,-3.25110647,-0.47554144,-0.43859123,-0.73200200,-0.81890819,86.80939695
66,0.26059765,0.21953170,-0.62197548,-3.32313548,-0.47555010,-0.43845687,-0.73193095,-0.81709059,86.80625928
67,1.42624261,0.42313513,-0.37893926,-3.38964747,-0.47552616,-0.43830639,-0.73178395,-0.81521919,86.80319809
68,0.94131420,0.35115778,-0.11674196,-3.45103042,-0.47547409,-0.43812963,-0.73156091,-0.81329343,86.80021315
69,-0.47832553,0.01709607,0.15698821,-3.50767231,-0.47539753,-0.43791796,-0.73126113,-0.81131153,86.79730307
70,-0.12673715,-0.40853128,0.43170789,-3.55996111,-0.47529922,-0.43766380,-0.73088382,-0.80927206,86.79446687
71,-0.69156763,-0.64383873,0.69553451,-3.60828479,-0.47518264,-0.43735861,-0.73042836,-0.80717298,86.79170294
72,0.01974461,-0.56310291,0.93908396,-3.65303137,-0.47505015,-0.43699450,-0.72989450,-0.80501188,86.78900919
73,-0.16182891,-0.21387477,1.15700219,-3.69458890,-0.47490069,-0.43656684,-0.72928175,-0.80279136,86.78638822
74,-0.52765983,0.30685837,1.34495353,-3.73334549,-0.47473211,-0.43607213,-0.72858935,-0.80051640,86.78384481
75,-0.03019635,0.87119956,1.49863700,-3.76968922,-0.47454153,-0.43550620,-0.72781730,-0.79819522,86.78138634
76,0.55206077,1.32396442,1.61375163,-3.80400819,-0.47431996,-0.43486548,-0.72696888,-0.79593671,86.77911861
77,-0.06947746,1.53231271,1.68604651,-3.83668823,-0.47405214,-0.43415062,-0.72604815,-0.79369175,86.77698820
78,0.17560251,1.48618127,1.71301665,-3.86808418,-0.47372241,-0.43336326,-0.72505853,-0.79140485,86.77493526
79,-0.35701805,1.22096634,1.69910750,-3.89844030,-0.47331613,-0.43250422,-0.72400344,-0.78906905,86.77294880
80,0.76627725,0.68813655,1.65317369,-3.92788887,-0.47282498,-0.43157035,-0.72288637,-0.78667898,86.77102172
81,0.22112926,-0.05771149,1.58475811,-3.95651200,-0.47225609,-0.43055259,-0.72170772,-0.78423934,86.76916352
82,-0.62365211,-0.76752301,1.50339172,-3.98437989,-0.47161373,-0.42944575,-0.72046674,-0.78175700,86.76738570
83,0.35187950,-1.18953575,1.41860426,-4.01156151,-0.47089073,-0.42825056,-0.71916372,-0.77923374,86.76569019
84,-0.25121398,-1.25204601,1.33981444,-4.03812322,-0.47007862,-0.42696750,-0.71779923,-0.77666998,86.76407648
85,0.31971131,-0.97922472,1.27428749,-4.06411960,-0.46916902,-0.42559611,-0.71637384,-0.77406615,86.76254404
86,-0.72598307,-0.41447574,1.22233350,-4.08959578,-0.46815232,-0.42413653,-0.71488812,-0.77142268,86.76109238
87,0.95365294,0.09499036,1.18252262,-4.11458533,-0.46701863,-0.42258957,-0.71334265,-0.76873998,86.75972099
88,-0.77671383,0.24415392,1.15266772,-4.13911002,-0.46575884,-0.42095618,-0.71173799,-0.76601850,86.75842934
89,0.50898304,0.28639640,1.12586607,-4.16316813,-0.46436702,-0.41923732,-0.71007472,-0.76325865,86.75721692
90,-0.51932589,0.47890117,1.08914567,-4.18671905,-0.46283709,-0.41743394,-0.70835341,-0.76046086,86.75608324
91,0.71574467,0.63505213,1.03453678,-4.20970673,-0.46116002,-0.41554697,-0.70657463,-0.75762557,86.75502778
92,-0.67342453,0.58387250,0.95794104,-4.23206788,-0.45933410,-0.41357738,-0.70473896,-0.75475319,86.75405001
93,-0.74585287,0.39435001,0.86096736,-4.25373906,-0.45736227,-0.41152612,-0.70284696,-0.75184415,86.75314945
94,-1.08920628,0.18535509,0.74690115,-4.27466179,-0.45524680,-0.40939412,-0.70089921,-0.74889889,86.75232557
95,-0.92104680,0.02667008,0.61910929,-4.29478357,-0.45298490,-0.40718235,-0.69889628,-0.74591782,86.75157786
96,-0.30802554,-0.07201160,0.48095864,-4.31405221,-0.45057347,-0.40489176,-0.69683874,-0.74290138,86.75090581
97,0.92652942,-0.16236065,0.33581606,-4.33241250,-0.44801241,-0.40252328,-0.69472716,-0.73984999,86.75030891
98,0.85516430,-0.28988359,0.18704842,-4.34981010,-0.44530075,-0.40007788,-0.69256213,-0.73676408,86.74978665
99,0.20863456,-0.45212355,0.03802259,-4.36619607,-0.44243217,-0.39755649,-0.69034419,-0.73364408,86.74933852
100,0.21187321,-0.62918929,-0.10789457,-4.38152485,-0.43939690,-0.39496008,-0.68807394,-0.73049041,86.74896401
101,0.16155182,-0.78467760,-0.24733620,-4.39575735,-0.43617873,-0.39228959,-0.68575195,-0.72730350,86.74866261
102,-0.35043530,-0.87021886,-0.37693542,-4.40884599,-0.43276996,-0.38954598,-0.68337877,-0.72408377,86.74843380
103,0.11852751,-0.82804336,-0.49347125,-4.42072484,-0.42918122,-0.38673018,-0.68095499,-0.72083166,86.74827707
104,-0.55509052,-0.59668821,-0.59467931,-4.43130709,-0.42544401,-0.38384315,-0.67848118,-0.71754759,86.74819192
105,-0.42219846,-0.19358100,-0.67996680,-4.44051877,-0.42157702,-0.38088585,-0.67595791,-0.71423199,86.74817783
106,0.46995281,0.27713977,-0.74924995,-4.44830370,-0.41757798,-0.37785921,-0.67338575,-0.71088529,86.74823429
107,0.55597462,0.68159312,-0.80249198,-4.45459568,-0.41344092,-0.37476419,-0.67076528,-0.70750790,86.74836079
108,0.71382251,0.89768068,-0.83965592,-4.45931800,-0.40916070,-0.37160174,-0.66809706,-0.70410027,86.74855682
109,-0.55220036,0.88656235,-0.86082439,-4.46238920,-0.40473677,-0.36837282,-0.66538167,-0.70066281,86.74882187
110,-0.14380442,0.73019128,-0.86678200,-4.46374963,-0.40017038,-0.36507836,-0.66261968,-0.69719596,86.74915543
111,0.34117424,0.53449848,-0.85880204,-4.46336643,-0.39546298,-0.36171932,-0.65981166,-0.69370013,86.74955698
112,-0.35596495,0.36259103,-0.83794050,-4.46124656,-0.39061596,-0.35829664,-0.65695819,-0.69017577,86.75002602
113,-0.15656765,0.18631182,-0.80484827,-4.45743481,-0.38563064,-0.35481129,-0.65405983,-0.68662328,86.75056203
114,0.53552544,-0.05083851,-0.76016187,-4.45199093,-0.38050827,-0.35126419,-0.65111717,-0.68304311,86.75116450
115,0.20194262,-0.37800479,-0.70451532,-4.44498059,-0.37525015,-0.34765630,-0.64813078,-0.67943568,86.75183293
116,-0.34447614,-0.73590790,-0.63860621,-4.43647627,-0.36985753,-0.34398856,-0.64510125,-0.67580141,86.75256680
117,-0.22578381,-1.03633827,-0.56315081,-4.42655204,-0.36433171,-0.34026190,-0.64202914,-0.67214073,86.75336559
118,-0.45218053,-1.17170493,-0.47894064,-4.41528194,-0.35867396,-0.33647728,-0.63891505,-0.66845407,86.75422881
119,-1.15574492,-1.07307867,-0.38741377,-4.40274003,-0.35288554,-0.33263563,-0.63575955,-0.66474186,86.75515593
120,0.19892839,-0.73213249,-0.29149426,-4.38900035,-0.34696775,-0.32873790,-0.63256322,-0.66100453,86.75614645
121,1.00256066,-0.25052292,-0.19456958,-4.37413695,-0.34092185,-0.32478503,-0.62932663,-0.65724249,86.75719986
122,0.75468505,0.24576403,-0.10005673,-4.35822388,-0.33474912,-0.32077796,-0.62605037,-0.65345618,86.75831564
123,0.73209182,0.64264376,-0.01137272,-4.34133520,-0.32845083,-0.31671764,-0.62273502,-0.64964602,86.75949329
124,0.53903939,0.86105916,0.06806544,-4.32354495,-0.32202826,-0.31260500,-0.61938116,-0.64581245,86.76073229
125,-0.33447631,0.89909480,0.13482544,-4.30492719,-0.31548269,-0.30844100,-0.61598936,-0.64195588,86.76203213
126,0.04080018,0.88421635,0.18533517,-4.28555595,-0.30881539,-0.30422657,-0.61256020,-0.63807675,86.76339230
127,-0.56201021,1.00048132,0.21639795,-4.26550531,-0.30202764,-0.29996266,-0.60909426,-0.63417548,86.76481229
128,0.03056214,1.25323700,0.22758965,-4.24484965,-0.29512072,-0.29565020,-0.60559212,-0.63025250,86.76629159
129,0.40776233,1.51445474,0.21932339,-4.22366586,-0.28809589,-0.29129015,-0.60205437,-0.62630824,86.76782968
130,0.96897480,1.63363687,0.19213779,-4.20203630,-0.28095444,-0.28688344,-0.59848157,-0.62234312,86.76942607
131,-0.34667252,1.50747789,0.14752489,-4.18005272,-0.27369764,-0.28243102,-0.59487431,-0.61835757,86.77108023
132,-0.72197371,1.17320403,0.08955787,-4.15782843,-0.26632676,-0.27793383,-0.59123317,-0.61435202,86.77279165
133,0.64605496,0.71732500,0.02330095,-4.13550477,-0.25884309,-0.27339282,-0.58755873,-0.61032689,86.77455983
134,-0.65908337,0.26592962,-0.04611103,-4.11323819,-0.25124790,-0.26880891,-0.58385156,-0.60628261,86.77638424
135,0.68809724,-0.13206418,-0.11355085,-4.09118724,-0.24354246,-0.26418307,-0.58011225,-0.60221961,86.77826439
136,0.56822222,-0.50942355,-0.17384590,-4.06950744,-0.23572805,-0.25951623,-0.57634136,-0.59813832,86.78019977
137,0.68887546,-0.88286384,-0.22169250,-4.04833398,-0.22780595,-0.25480933,-0.57253949,-0.59403916,86.78218985
138,0.38192559,-1.19519768,-0.25195280,-4.02775742,-0.21977743,-0.25006332,-0.56870722,-0.58992256,86.78423412
139,-0.89610624,-1.37345076,-0.25970630,-4.00781465,-0.21164376,-0.24527914,-0.56484511,-0.58578894,86.78633209
140,-1.78324647,-1.34792081,-0.24148270,-3.98851085,-0.20340623,-0.24045773,-0.56095375,-0.58163874,86.78848323
141,-0.79437435,-1.07744463,-0.19808833,-3.96983545,-0.19506611,-0.23560003,-0.55703372,-0.57747238,86.79068704
142,0.33284521,-0.64366636,-0.13288411,-3.95178054,-0.18662467,-0.23070699,-0.55308560,-0.57329029,86.79294300
143,-0.07222991,-0.16881940,-0.04963548,-3.93433966,-0.17808319,-0.22577956,-0.54910996,-0.56909289,86.79525061
144,0.69242617,0.20237033,0.04789213,-3.91750636,-0.16944295,-0.22081866,-0.54510739,-0.56488061,86.79760934
145,1.01945358,0.38170468,0.15593331,-3.90127416,-0.16070522,-0.21582525,-0.54107846,-0.56065388,86.80001870
146,0.38269242,0.33271101,0.27058599,-3.88563660,-0.15187128,-0.21080027,-0.53702376,-0.55641313,86.80247817
147,-0.42311078,0.14348501,0.38706868,-3.87058724,-0.14294240,-0.20574466,-0.53294386,-0.55215878,86.80498724
148,0.03431781,-0.05119289,0.49909924,-3.85611960,-0.13391986,-0.20065937,-0.52883934,-0.54789125,86.80754539
149,-0.05132587,-0.10827177,0.60075726,-3.84222722,-0.12480493,-0.19554533,-0.52471078,-0.54361099,86.81015213
150,-0.55799923,0.01752103,0.68969029,-3.82890364,-0.11559890,-0.19040349,-0.52055876,-0.53931841,86.81280692
151,0.19396951,0.26302499,0.76558115,-3.81614241,-0.10630303,-0.18523480,-0.51638386,-0.53501394,86.81550928
152,1.18245627,0.50838150,0.82841539,-3.80393706,-0.09691860,-0.18004018,-0.51218665,-0.53069800,86.81825867
153,1.35443617,0.62892545,0.87819443,-3.79228112,-0.08744689,-0.17482060,-0.50796772,-0.52637103,86.82105460
154,1.26508471,0.54019346,0.91537289,-3.78116809,-0.07788918,-0.16957698,-0.50372765,-0.52203345,86.82389656
155,0.46135319,0.25922918,0.94236367,-3.77058937,-0.06824673,-0.16431028,-0.49946701,-0.51768570,86.82678402
156,0.19490572,-0.13925694,0.96353310,-3.76052736,-0.05852083,-0.15902144,-0.49518639,-0.51332818,86.82971648
157,-0.45331184,-0.56373265,0.98374536,-3.75095419,-0.04871275,-0.15371139,-0.49088636,-0.50896134,86.83269343
158,-0.80105647,-0.92697940,1.00788306,-3.74182978,-0.03882377,-0.14838109,-0.48656750,-0.50458560,86.83571436
159,-0.01553952,-1.16489058,1.04081979,-3.73309724,-0.02885516,-0.14303147,-0.48223039,-0.50020138,86.83877876
160,0.18277980,-1.30229723,1.08714894,-3.72468763,-0.01880819,-0.13766347,-0.47787561,-0.49580912,86.84188611
161,0.28327194,-1.41336326,1.14961448,-3.71652340,-0.00868415,-0.13227805,-0.47350374,-0.49140924,86.84503590
162,-0.29636981,-1.49461137,1.22756322,-3.70852533,0.00151568,-0.12687613,-0.46911535,-0.48700217,86.84822763
163,0.15114901,-1.49983619,1.31739694,-3.70061420,0.01179005,-0.12145868,-0.46471104,-0.48258833,86.85146079
164,0.14057395,-1.43944963,1.41371287,-3.69271078,0.02213766,-0.11602662,-0.46029136,-0.47816815,86.85473485
165,-0.23475718,-1.34677347,1.51081048,-3.68473584,0.03255725,-0.11058090,-0.45585692,-0.47374206,86.85804931
166,0.58924880,-1.26728710,1.60300812,-3.67661016,0.04304753,-0.10512246,-0.45140827,-0.46931049,86.86140367
167,0.61378041,-1.22761213,1.68450663,-3.66825452,0.05360723,-0.09965225,-0.44694601,-0.46487386,86.86479740
168,0.20680252,-1.13717454,1.74948413,-3.65958968,0.06423508,-0.09417121,-0.44247071,-0.46043260,86.86823000
169,-0.49288462,-0.80711918,1.79214082,-3.65053641,0.07492980,-0.08868028,-0.43798295,-0.45598713,86.87170096
170,-1.87110436,-0.10161682,1.80668209,-3.64101551,0.08569012,-0.08318040,-0.43348331,-0.45153789,86.87520976
171,-0.63696501,0.91448577,1.78730946,-3.63094385,0.09651475,-0.07767252,-0.42897237,-0.44708530,86.87875589
172,1.56856633,1.83981610,1.72819381,-3.62020753,0.10740224,-0.07215757,-0.42445072,-0.44262979,86.88233885
173,-0.38380765,2.27224507,1.62343268,-3.60861862,0.11835052,-0.06663649,-0.41991899,-0.43817175,86.88595809
174,-0.12863807,2.16396016,1.46920849,-3.59593822,0.12935774,-0.06111020,-0.41537779,-0.43371157,86.88961306
175,0.42462038,1.74417826,1.27029679,-3.58191697,0.14042217,-0.05557967,-0.41082771,-0.42924965,86.89330319
176,-0.63735296,1.30086367,1.03384562,-3.56630514,0.15154206,-0.05004585,-0.40626934,-0.42478637,86.89702794
177,0.76467816,1.02649976,0.76706227,-3.54885298,0.16271569,-0.04450969,-0.40170329,-0.42032212,86.90078674
178,-0.94377381,0.86499361,0.47715398,-3.52931075,0.17394130,-0.03897213,-0.39713015,-0.41585729,86.90457903
179,1.02655575,0.62691231,0.17132804,-3.50742870,0.18521717,-0.03343413,-0.39255053,-0.41139226,86.90840425
180,0.02941275,0.20871804,-0.14320831,-3.48295708,0.19654156,-0.02789670,-0.38796496,-0.40692743,86.91226185
181,-0.63746840,-0.26335950,-0.45924779,-3.45564614,0.20791272,-0.02236085,-0.38337397,-0.40246318,86.91615126
182,0.38109780,-0.59280029,-0.76958313,-3.42524616,0.21932893,-0.01682761,-0.37877809,-0.39799991,86.92007192
183,-0.67735727,-0.56666538,-1.06695301,-3.39150737,0.23078843,-0.01129799,-0.37417785,-0.39353799,86.92402329
184,0.19558930,-0.20272689,-1.34236462,-3.35418003,0.24228951,-0.00577302,-0.36957378,-0.38907782,86.92800479
185,0.51920095,0.22674095,-1.58062295,-3.31301440,0.25383041,-0.00025372,-0.36496639,-0.38461979,86.93201586
186,0.19182650,0.42811556,-1.76531092,-3.26776073,0.26540940,0.00525890,-0.36035623,-0.38016428,86.93605596
187,0.67334804,0.26312969,-1.88410957,-3.21817525,0.27702474,0.01076381,-0.35574382,-0.37571168,86.94012452
188,-0.58949965,-0.15066551,-1.93185178,-3.16408516,0.28867470,0.01625999,-0.35112968,-0.37126238,86.94422097
189,-0.62002623,-0.56788813,-1.90524078,-3.10551888,0.30035753,0.02174642,-0.34651435,-0.36681678,86.94834477
190,-0.94364695,-0.76462822,-1.80254929,-3.04257964,0.31207183,0.02722176,-0.34189836,-0.36237525,86.95249535
191,-1.05227428,-0.67728676,-1.62909986,-2.97537762,0.32381753,0.03268331,-0.33728222,-0.35793818,86.95667215
192,1.07821729,-0.47084533,-1.39695962,-2.90402300,0.33559451,0.03812844,-0.33266647,-0.35350597,86.96087462
193,0.50426521,-0.38428291,-1.11961848,-2.82862595,0.34740118,0.04355596,-0.32805164,-0.34907900,86.96510219
194,0.22624605,-0.43557351,-0.81059127,-2.74929666,0.35923559,0.04896509,-0.32343825,-0.34465766,86.96935431
195,-1.09082810,-0.33408859,-0.48339280,-2.66614529,0.37109578,0.05435516,-0.31882697,-0.34024234,86.97363041
196,0.19898382,0.07742536,-0.15153787,-2.57928203,0.38297979,0.05972602,-0.31421900,-0.33583342,86.97792994
197,-0.59872401,0.60402711,0.17145870,-2.48881705,0.39488567,0.06507770,-0.30961567,-0.33143130,86.98225234
198,-0.02826423,0.94494003,0.47208210,-2.39486054,0.40681146,0.07041019,-0.30501831,-0.32703637,86.98659705
199,1.59390037,0.92589821,0.73681752,-2.29752266,0.41875521,0.07572334,-0.30042810,-0.32264900,86.99096351
200,-1.36750097,0.47595870,0.95334519,-2.19691360,0.43071495,0.08101634,-0.29584557,-0.31826959,86.99535116
201,-0.25547700,-0.19246757,1.11431817,-2.09314352,0.44268873,0.08628822,-0.29127107,-0.31389853,86.99975944
202,0.95027119,-0.75148786,1.21438529,-1.98632262,0.45467460,0.09153799,-0.28670493,-0.30953621,87.00418779
203,-0.78228156,-0.92625225,1.24965047,-1.87656107,0.46667059,0.09676467,-0.28214751,-0.30518301,87.00863566
204,-0.46281224,-0.67497976,1.22197717,-1.76396904,0.47867476,0.10196728,-0.27759916,-0.30083932,87.01310247
205,0.62853824,-0.14774527,1.13901218,-1.64865760,0.49068514,0.10714484,-0.27306022,-0.29650553,87.01758769
206,0.14487754,0.45047836,1.00957657,-1.53075208,0.50269978,0.11229637,-0.26853105,-0.29218204,87.02209074
207,0.56999593,0.96531445,0.84254262,-1.41042901,0.51471672,0.11742088,-0.26401200,-0.28786921,87.02661107
208,-0.60200942,1.35773109,0.64682050,-1.28791242,0.52673400,0.12251741,-0.25950341,-0.28356746,87.03114811
209,0.14550073,1.60829089,0.43134791,-1.16346349,0.53874968,0.12758498,-0.25500565,-0.27927715,87.03570132
210,0.63469332,1.64200976,0.20507156,-1.03736356,0.55076178,0.13262263,-0.25051910,-0.27499869,87.04027012
211,0.47097325,1.38275397,-0.02361155,-0.90990206,0.56276836,0.13762941,-0.24604411,-0.27073246,87.04485396
212,-0.33233333,0.86365021,-0.24691576,-0.78136450,0.57476746,0.14260436,-0.24158106,-0.26647885,87.04945229
213,-0.22720028,0.18068833,-0.45720672,-0.65202390,0.58675712,0.14754650,-0.23713032,-0.26223824,87.05406453
214,0.37555627,-0.57542264,-0.64688043,-0.52212719,0.59873539,0.15245489,-0.23269225,-0.25801103,87.05869014
215,0.08146794,-1.33860897,-0.80837152,-0.39188268,0.61070031,0.15732856,-0.22826723,-0.25379760,87.06332855
216,0.61684036,-2.03158068,-0.93415816,-0.26145518,0.62264992,0.16216656,-0.22385562,-0.24959834,87.06797921
217,-1.75301451,-2.44711791,-1.01675841,-0.13096955,0.63458226,0.16696787,-0.21945775,-0.24541364,87.07264155
218,0.24759749,-2.42373506,-1.05048065,-0.00052392,0.64649539,0.17173129,-0.21507374,-0.24124389,87.07731501
219,0.51509309,-2.03387682,-1.03716254,0.12979015,0.65838734,0.17645556,-0.21070366,-0.23708947,87.08199905
220,1.25708980,-1.40592625,-0.98227938,0.25988155,0.67025615,0.18113946,-0.20634762,-0.23295078,87.08669309
221,1.06648505,-0.64633750,-0.89177489,0.38965916,0.68209988,0.18578191,-0.20200587,-0.22882820,87.09139658
222,-0.85068814,0.13654288,-0.77159278,0.51903187,0.69391656,0.19038187,-0.19767870,-0.22472212,87.09610896
223,0.70760996,0.78940276,-0.62767676,0.64790856,0.70570423,0.19493835,-0.19336645,-0.22063292,87.10082967
224,0.02891403,1.15093818,-0.46597055,0.77619811,0.71746095,0.19945044,-0.18906953,-0.21656101,87.10555815
